,ydata
1007,1.597794
1008,1.586916
1009,1.573777
1010,1.557601
1011,1.539625
1012,1.519175
1013,1.496324
1014,1.471072
1015,1.44363
1016,1.413256
1017,1.380763
1018,1.346611
1019,1.310445
1020,1.271772
1021,1.231297
1022,1.188597
1023,1.143991
1024,1.098465
1025,1.050291
1026,1.000881
1027,0.949882
1028,0.897223
1029,0.843468
1030,0.788443
1031,0.732075
1032,0.674965
1033,0.616584
1034,0.557497
1035,0.497138
1036,0.436038
1037,0.375114
1038,0.313343
1039,0.250582
1040,0.187645
1041,0.124991
1042,0.06163
1043,-0.001483
1044,-0.064632
1045,-0.127322
1046,-0.189588
1047,-0.251324
1048,-0.311965
1049,-0.371582
1050,-0.430211
1051,-0.487532
1052,-0.543582
1053,-0.59836
1054,-0.651514
1055,-0.703891
1056,-0.754961
1057,-0.804053
1058,-0.852333
1059,-0.898671
1060,-0.944408
1061,-0.988414
1062,-1.03076
1063,-1.072189
1064,-1.112098
1065,-1.151019
1066,-1.188597
1067,-1.22494
1068,-1.260081
1069,-1.294199
1070,-1.326833
1071,-1.35823
1072,-1.388498
1073,-1.417671
1074,-1.444548
1075,-1.469977
1076,-1.493711
1077,-1.515432
1078,-1.534998
1079,-1.553045
1080,-1.568727
1081,-1.582395
1082,-1.594085
1083,-1.603303
1084,-1.610226
1085,-1.615523
1086,-1.618066
1087,-1.61789
1088,-1.615665
1089,-1.611144
1090,-1.604115
1091,-1.594262
1092,-1.58236
1093,-1.56795
1094,-1.550962
1095,-1.531572
1096,-1.509604
1097,-1.485482
1098,-1.458817
1099,-1.42982
1100,-1.398811
1101,-1.365188
1102,-1.329764
1103,-1.29215
1104,-1.252241
1105,-1.210989
1106,-1.167442
1107,-1.121846
1108,-1.074343
1109,-1.025816
1110,-0.975382
1111,-0.923676
1112,-0.87031
1113,-0.815708
1114,-0.759694
1115,-0.702584
1116,-0.644768
1117,-0.585434
1118,-0.525958
1119,-0.465105
1120,-0.403828
1121,-0.341774
1122,-0.279826
1123,-0.216783
1124,-0.153563
1125,-0.089885
1126,-0.026736
1127,0.035954
1128,0.098785
1129,0.161227
1130,0.222716
1131,0.28364
1132,0.343151
1133,0.401885
1134,0.459454
1135,0.51561
1136,0.570459
1137,0.623966
1138,0.676696
1139,0.728084
1140,0.777777
1141,0.826162
1142,0.873489
1143,0.919544
1144,0.964327
1145,1.007874
1146,1.050221
1147,1.091119
1148,1.130887
1149,1.169631
1150,1.206963
1151,1.243623
1152,1.2788
1153,1.312882
1154,1.345551
1155,1.376737
1156,1.406758
1157,1.434836
1158,1.461218
1159,1.485623
1160,1.508191
1161,1.528817
1162,1.547289
1163,1.5635
1164,1.578015
1165,1.589953
1166,1.599983
1167,1.607329
1168,1.612733
1169,1.615947
1170,1.616018
1171,1.614111
1172,1.610049
1173,1.603127
1174,1.593803
1175,1.582289
1176,1.568197
1177,1.551562
1178,1.532914
1179,1.511193
1180,1.487212
1181,1.461254
1182,1.432893
1183,1.402308
1184,1.369179
1185,1.334179
1186,1.297165
1187,1.257644
1188,1.216569
1189,1.173481
1190,1.128521
1191,1.082042
1192,1.033374
1193,0.983434
1194,0.931799
1195,0.87914
1196,0.824997
1197,0.769371
1198,0.712756
1199,0.654869
1200,0.596418
1201,0.536907
1202,0.476548
1203,0.415659
1204,0.3541
1205,0.291728
1206,0.228862
1207,0.166419
1208,0.103129
1209,0.040015
1210,-0.022745
1211,-0.086565
1212,-0.148619
1213,-0.210814
1214,-0.271844
1215,-0.332238
1216,-0.391678
1217,-0.449459
1218,-0.506392
1219,-0.561806
1220,-0.616161
1221,-0.668891
1222,-0.720526
1223,-0.770819
1224,-0.819523
1225,-0.867096
1226,-0.913645
1227,-0.957581
1228,-1.001446
1229,-1.043475
1230,-1.084338
1231,-1.123859
1232,-1.162109
1233,-1.199193
1234,-1.234864
1235,-1.269547
1236,-1.302675
1237,-1.335203
1238,-1.366283
1239,-1.396197
1240,-1.424028
1241,-1.450764
1242,-1.475628
1243,-1.498761
1244,-1.519988
1245,-1.539483
1246,-1.556436
1247,-1.571835
1248,-1.585044
1249,-1.596345
1250,-1.605175
1251,-1.611179
1252,-1.615241
1253,-1.617113
1254,-1.616689
1255,-1.613687
1256,-1.608106
1257,-1.60023
1258,-1.589953
1259,-1.577415
1260,-1.562016
1261,-1.544075
1262,-1.523873
1263,-1.501269
1264,-1.476511
1265,-1.449316
1266,-1.419684
1267,-1.38765
1268,-1.35378
1269,-1.317615
1270,-1.2794
1271,-1.239385
1272,-1.196862
1273,-1.15229
1274,-1.106659
1275,-1.058874
1276,-1.009676
1277,-0.958676
1278,-0.906405
1279,-0.852757
1280,-0.797696
1281,-0.740975
1282,-0.684077
1283,-0.625273
1284,-0.566185
1285,-0.506392
1286,-0.445609
1287,-0.384014
1288,-0.321819
1289,-0.259483
1290,-0.196404
1291,-0.133609
1292,-0.070107
1293,-0.007064
1294,0.056015
1295,0.119128
1296,0.180688
1297,0.241859
1298,0.302535
1299,0.36194
1300,0.420145
1301,0.477466
1302,0.53288
1303,0.587447
1304,0.640777
1305,0.692872
1306,0.743694
1307,0.793422
1308,0.841279
1309,0.888216
1310,0.933918
1311,0.978313
1312,1.02126
1313,1.063112
1314,1.103763
1315,1.143284
1316,1.181781
1317,1.218936
1318,1.255172
1319,1.289749
1320,1.323301
1321,1.355723
1322,1.386591
1323,1.415834
1324,1.443135
1325,1.469059
1326,1.492899
1327,1.514972
1328,1.534574
1329,1.55241
1330,1.568338
1331,1.5819
1332,1.593167
1333,1.60242
1334,1.609131
1335,1.613581
